"","Ctrl2","Ctrl8","P18","P19","P20","P21","P22","P23"
"ELANE",12.54469726934,62.5634423392371,0,0,76.7244390825855,3.90380351483512,141.516511314826,39.8893555359098
"RAB40C",3.09321302531671,23.2499278963381,35.6217452711083,25.8431756299732,23.2648299153647,0.650633919139187,40.0607879601433,22.0564671786795
"PIGN",97.09251996133,58.7589086834726,54.1645715766167,25.255830729292,81.1794065131873,72.870998943589,96.4777556199902,98.0808859647665
"ZNF624",8.59225840365752,2.95908173226121,0,3.52406940408725,0.989992762355943,13.3379953423533,0,6.5700115000322
"ANKRD13C-DT",14.6068392862178,19.4453942405737,0.487969113302854,0,0.494996381177971,4.22912047440472,0,10.3243037857649
"TOPORS",122.010069331937,129.776870257742,115.648679852776,87.5143902015001,97.5142870920603,191.611689186491,144.598110388683,101.835178250499
"BCO2",1.0310710084389,0.422725961751602,0,14.6836225170302,5.44496019295768,7.48229007010065,5.21501381729677,5.63143842859903
"ENTPD6",2.92136785724356,17.3317644318157,79.0509963550623,19.3823817224799,16.829876960051,0,26.5491612516926,18.7714614286634
"FAR1",302.963031312964,204.176639526024,54.1645715766167,116.294290334879,125.234084438027,346.462561941617,92.4479722157154,305.974821287214
"CPLANE1",64.6137831955046,68.0588798420079,73.6833361087309,91.0384596055874,76.2294427014076,66.6899767117667,101.692769437287,54.9065246788406
"ZNF841",5.67089054641397,6.34088942627403,24.3984556651427,0,2.96997828706783,3.57848655526553,32.4753133168026,20.6486075715298
"ZNF615",11.3417810928279,7.18634134977723,11.2232896059656,12.9215878149866,10.8899203859154,24.0734550081499,6.16319814771436,11.7321633929147
"EOLA1",8.76410357173067,43.9635000221666,23.422517438537,2.34937960272484,22.2748371530087,25.0494058868587,0,10.7935903214815
"CDC42SE1",17.184516807315,19.8681202023253,13.6631351724799,18.7950368217987,31.6797683953902,18.5430666954668,5.68910598250556,15.4864556786473
"MPEG1",102.591565339671,49.4589375249374,291.317560641804,87.5143902015001,102.959247285018,229.673773456133,98.8482164460342,221.972531393945
"DPP4",8.24856806751122,0,17.5668880789027,7.04813880817451,8.41493848002551,27.6519415634155,0,23.9336133215459
"ZNF433",3.60874852953616,10.56814904379,1.95187645321141,34.6533491401913,11.3849167670933,1.62658479784797,0,26.7493325358454
"SPTAN1",58.4273571448712,103.567860629142,76.611150788548,125.691808745779,138.598986729832,76.4494854988545,222.823317648135,95.7344532861835
"RPE",60.489499161749,18.5999423170705,39.5254981775311,16.4456572190738,43.5596815436615,60.5089544799444,49.7796773469237,22.9950402501127
"ZNF460",7.21749705907232,14.3726826995545,0,8.22282860953692,3.95997104942377,0.325316959569594,0,0.938573071433172
"PHF2",55.6778344557008,60.8725384922306,46.3570657637711,80.4662513933256,67.8145042213821,64.0874410352099,40.2978340427477,32.3807709644444
"RPS26",480.307244764456,207.981173181788,170.789189655999,163.281882389376,153.448878165171,271.314344281041,266.439796847344,191.938193108084
"PSAP",115.479952945157,211.785706837552,1157.95070586767,351.819595508044,411.836989140072,136.30780605966,310.530368211762,422.357882144927
"S100A10",92.6245455914281,53.2634711807018,219.098131872981,53.44838596199,52.9646127860429,118.090056323762,20.6230091865827,273.124763787053
"RPL37A",822.966509902318,1021.30592359187,180.548571922056,1076.60320294866,426.191884194233,519.531184432641,345.376142354609,771.976351253784
"TXNRD3",6.35827121870657,0.422725961751602,1.46390733990856,1.17468980136242,2.96997828706783,5.2050713531135,4.74092165208797,10.7935903214815
"MCMBP",145.552857357958,108.21784620841,153.710270690399,37.0027287429162,79.1994209884754,303.846040238,62.5801658075612,133.746662679227
"EME2",0.687380672292602,5.49543750277082,24.8864247784455,28.7799001333792,0,2.92785263612634,4.74092165208797,6.5700115000322
"KLHDC1",67.363305884675,46.4998557926762,2.43984556651427,41.7014879483658,22.7698335341867,49.7734948141478,4.50387556948357,9.85501725004831
"ZNF81",16.3252909669493,7.60906731152883,2.92781467981712,11.159553112943,13.8598986729832,12.036727504075,55.4687833294293,14.0785960714976
"TAF13",25.9486203790457,20.2908461640769,35.6217452711083,53.44838596199,20.2948516282968,66.3646597521971,14.2227649562639,37.5429228573269
"ATAD3A",2.40583235302411,22.8272019345865,8.78344403945136,78.704216691282,32.1747647765681,0.325316959569594,29.156668160341,15.4864556786473
"FAM118B",13.2320779416326,12.6817788525481,49.2848804435882,51.6863512599464,21.7798407718307,16.2658479784797,18.9636866083519,12.2014499286312
"ZNF461",14.4349941181446,9.72269712028684,0.487969113302854,21.1444164245235,12.8699059106273,33.8329637952377,0,4.22357882144927
"SLC9A8",13.2320779416326,35.5089807871345,9.27141315275422,36.4153838422349,29.2047864895003,10.7354596657966,33.1864515646158,48.8057997145249
"H4C16",0,5.91816346452242,1.46390733990856,0,2.96997828706783,7.48229007010065,3.79273732167038,7.50858457146538
"ZNF181",27.8389172278504,22.4044759728349,0,0,4.45496743060174,10.7354596657966,44.0905713644181,7.03929803574879
"INKA2",2.40583235302411,9.29997115853524,0.487969113302854,1.76203470204363,4.45496743060174,0,35.5569123906598,6.5700115000322
"ZNF44",35.400104623069,91.7315337000976,12.1992278325713,19.3823817224799,45.0446706871954,48.797543935439,64.0024423031876,57.7222438931401
"GPAA1",33.5098077742643,124.704158716723,112.720865172959,96.3245637117183,68.30950060256,13.9886292614925,74.4324699377811,90.5723013933011
"SGTB",16.1534457988761,5.07271154101922,0,4.11141430476846,3.95997104942377,21.4709193315932,16.5932257823079,20.1793210358132
"ZNF790",18.2155878157539,9.72269712028684,7.80750581284566,19.3823817224799,18.3148661035849,10.410142706227,2.37046082604399,0.469286535716586
"CYRIA",10.6544004205353,6.34088942627403,92.2261624142393,5.87344900681209,40.5897032565936,107.679913617536,34.1346358950334,32.850057500161
"MYO1C",0,1.26817788525481,18.0548571922056,0,8.41493848002551,0,9.95593546938474,4.69286535716586
"NKIRAS1",19.418503992266,19.4453942405737,0,53.44838596199,24.7498190588986,15.9405310189101,22.5193778474179,55.8450977502737
"KIF13B",7.73303256329177,18.5999423170705,34.6458070445026,7.63548370885572,12.8699059106273,8.78355790837903,0,9.38573071433172
"ADH5",168.580109879761,90.4633558148428,82.9547492614851,82.2282860953692,119.294127863891,210.805389801097,76.5658846812207,80.2479976075362
"H2BC12",12.8883876054863,6.76361538802563,14.6390733990856,0,13.3649022918052,19.8443345337452,10.4300276345935,1.87714614286634
"SPG7",64.9574735316509,133.581403913506,78.0750581284566,133.914637355316,90.5843377555687,21.4709193315932,86.0477279853967,208.832508393881
"ZNF677",55.8496796237739,29.1680913608605,15.1270425123885,17.6203470204363,25.2448154400765,71.8950480648802,5.45205989990117,30.9729113572947
"ERO1A",111.699359247548,48.6134856014342,76.1231816752451,66.3699737769766,55.9345910731108,176.972426005859,41.0089722905609,99.9580321076328
"ZNF823",3.26505819338986,0,6.3435984729371,0,8.90993486120348,8.13292398923984,1.65932257823079,5.16215189288245
"ZNF347",12.8883876054863,16.9090384700641,0.975938226605707,4.11141430476846,9.40493124238145,28.3025754825546,40.2978340427477,6.5700115000322
"PLCG2",42.7894468502145,47.3453077161794,175.180911675724,108.658806626024,105.434229190908,66.0393427926275,119.234179550012,143.601679929275
"FCHSD1",9.79517458016958,12.2590528907965,24.3984556651427,35.2406940408725,3.4649746682458,1.30126783827837,3.08159907385718,18.3021748929469
"ZNF71",7.21749705907232,19.4453942405737,0,9.98486331158055,7.42494571766957,3.90380351483512,34.1346358950334,14.0785960714976
"S100A6",376.684608416346,437.098644451156,197.627490887656,189.71240292003,146.518928828679,158.754676269962,65.8988109640228,431.743612859259
