gene_symbol,logFC,logCPM,F,PValue,FDR
NFIB,-3.8068911783507016,3.612387917257239,13.741210813552755,0.0010337623363496095,0.2040889788231478
UBASH3B,2.676522843144017,7.271913510971294,15.123457577195767,0.0010489782562809532,0.2040889788231478
LHFPL6,-4.272248843872356,2.5445645341984195,13.901853028016932,0.001077942153943023,0.2040889788231478
PAG1,2.73953356643545,8.327171228443936,14.979184662497728,0.0010923729443404512,0.2040889788231478
SLC7A5,2.8337033025595044,7.286652685228559,14.95948774174488,0.0010999461609030722,0.2040889788231478
NBL1,-4.7112991956519465,2.3707884680505247,14.683163397557891,0.0011073848307554409,0.2040889788231478
CD96,3.4755966232244426,6.31010832017755,14.839862847650867,0.0011303929600408192,0.2040889788231478
VWDE,-2.991976071678775,4.905523577830126,14.674375088162078,0.0011335179557690992,0.2040889788231478
GPR27,-3.82429211967024,4.110144999826284,13.771555962278974,0.0011704620411018942,0.20734168705519523
HBA1,6.596384141351717,9.060252060452262,14.623207529042542,0.00119372271527347,0.2081056600293416
LAT2,2.070205542216605,8.483816096726036,14.543500135238599,0.0012400731654063882,0.21197783494596323
ADRA2A,-4.868375440223972,2.4417211524739604,14.227969896880545,0.0012659784666984601,0.21197783494596323
TESMIN,-2.7367177402367235,4.514788102176771,14.147860692510413,0.0012983062764849317,0.21197783494596323
IFI27,11.70008515551055,6.754085110247976,14.621980388692215,0.001323063233421876,0.21197783494596323
PHOSPHO1,6.8022158337112595,6.379442918173526,13.948097526452266,0.0013470588456205705,0.21197783494596323
UCHL1,-4.289684868659099,2.917029969393099,13.037623550413862,0.0013471524502377333,0.21197783494596323
FGD5,-3.375071522587666,3.3555912290912016,13.029170354583968,0.00135103782629677,0.21197783494596323
PPP1R9A,-6.907734827463005,2.073842113069413,15.906143376549743,0.0013943170927575867,0.21324067090671767
TTC7B,-3.0911307129608976,3.41969203170395,13.116682966568867,0.0013979175366733746,0.21324067090671767
SBF1,4.644027092382718,5.036666699554842,13.651825283516946,0.0014629207046510805,0.22009942601620294
MSRB3,-2.017249874273485,6.147476171639895,13.929975979861808,0.0014980479900764054,0.22038899764317374
